ibgeCode,municipio,uf,tem_aeroporto,distancia_aeroporto_km,aeroporto_comercial_mais_proximo,tipo,fonte
2708600,São Miguel dos Campos,AL,False,44.06,,,
2708709,São Miguel dos Milagres,AL,False,52.44,,,
2708808,São Sebastião,AL,False,22.66,,,
2709004,Tanque d'Arca,AL,False,33.19,,,
2709103,Taquarana,AL,False,22.41,,,
2709152,Teotônio Vilela,AL,False,35.23,,,
2709202,Traipu,AL,False,39.49,,,
2709301,União dos Palmares,AL,False,49.7,,,
2709400,Viçosa,AL,False,54.8,,,
2700102,Água Branca,AL,False,40.9,,,
1300029,Alvarães,AM,False,76.1,,,
1300060,Amaturá,AM,False,70.59,,,
1300086,Anamã,AM,False,171.96,,,
1300102,Anori,AM,False,118.02,,,
1300144,Apuí,AM,True,79.18,,,
1300201,Atalaia do Norte,AM,False,230.65,,,
1300300,Autazes,AM,False,69.58,,,
1300409,Barcelos,AM,True,80.96,,,
1300508,Barreirinha,AM,False,66.73,,,
1300607,Benjamin Constant,AM,False,135.26,,,
1300631,Beruri,AM,False,145.85,,,
1300680,Boa Vista do Ramos,AM,False,26.59,,,
1300706,Boca do Acre,AM,True,81.28,,,
1300805,Borba,AM,True,61.65,,,
1300839,Caapiranga,AM,False,181.74,,,
1300904,Canutama,AM,False,77.93,,,
1301001,Carauari,AM,True,55.97,,,
1301100,Careiro,AM,False,79.65,,,
1301159,Careiro da Várzea,AM,False,52.26,,,
1301209,Coari,AM,True,115.12,,,
1301308,Codajás,AM,False,95.52,,,
1301407,Eirunepé,AM,True,56.78,,,
1301506,Envira,AM,False,102.97,,,
1301605,Fonte Boa,AM,True,30.88,,,
1301654,Guajará,AM,False,41.97,,,
1301704,Humaitá,AM,True,67.54,,,
1301803,Ipixuna,AM,False,128.8,,,
1301852,Iranduba,AM,False,47.37,,,
1301902,Itacoatiara,AM,True,32.96,,,
1301951,Itamarati,AM,False,195.13,,,
1302009,Itapiranga,AM,False,71.3,,,
1302108,Japurá,AM,False,205.82,,,
1302207,Juruá,AM,False,113.53,,,
1302306,Jutaí,AM,False,149.87,,,
1302405,Lábrea,AM,True,167.7,,,
1302504,Manacapuru,AM,False,104.58,,,
1302553,Manaquiri,AM,False,108.55,,,
1302603,Manaus,AM,True,52.11,,,
1302702,Manicoré,AM,True,74.26,,,
1302801,Maraã,AM,False,110.67,,,
1302900,Maués,AM,True,142.64,,,
1303007,Nhamundá,AM,False,142.14,,,
1303106,Nova Olinda do Norte,AM,False,96.79,,,
1303205,Novo Airão,AM,False,179.96,,,
1303304,Novo Aripuanã,AM,False,80.39,,,
1303403,Parintins,AM,True,8.53,,,
1303502,Pauini,AM,False,154.43,,,
1303536,Presidente Figueiredo,AM,False,186.04,,,
1303569,Rio Preto da Eva,AM,False,72.93,,,
1303601,Santa Isabel do Rio Negro,AM,True,58.8,,,
1303700,Santo Antônio do Içá,AM,True,50.23,,,
1304005,Silves,AM,False,34.39,,,
1303809,São Gabriel da Cachoeira,AM,True,126.92,,,
1303908,São Paulo de Olivença,AM,True,60.53,,,
1303957,São Sebastião do Uatumã,AM,False,134.29,,,
1304062,Tabatinga,AM,True,38.07,,,
1304104,Tapauá,AM,False,134.03,,,
1304203,Tefé,AM,True,150.57,,,
1304237,Tonantins,AM,False,148.92,,,
1304260,Uarini,AM,False,79.56,,,
1304302,Urucará,AM,False,255.45,,,
1304401,Urucurituba,AM,False,62.12,,,
1600105,Amapá,AP,False,,,,
1600204,Calçoene,AP,False,163.88,,,
1600212,Cutias,AP,False,127.33,,,
1600238,Ferreira Gomes,AP,False,107.7,,,
1600253,Itaubal,AP,False,72.58,,,
1600279,Laranjal do Jari,AP,False,233.56,,,
1600303,Macapá,AP,True,69.26,,,
1600402,Mazagão,AP,False,98.32,,,
