cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
07735888000150,PATRIMONIO SEGURANCA E MONITORAMENTO ELETRONICO LTDA,PATRIMONIO SEGURANCA ELETRONICA,MATRIZ,ATIVA,8020001,4321500;4322303;4330499;4399103;4399199;4647801;4651601;4652400;4752100;5223100;7490199;7810800;8011101;8020002;8111700;8121400,MANAUS,AM,"500000,00",01,PALAVRA_CHAVE_GR
11647978000166,OREGON MONITORAMENTO DE SISTEMAS DE SEGURANCA LTDA,OREGON SECURITY,MATRIZ,ATIVA,8020001,2542000;4742300;4759899;8299703;9512600;9529102,BRASILIA,DF,"95400,00",01,PALAVRA_CHAVE_GR
13775809000137,ATIVO SERVICOS 24 HORAS DE MONITORAMENTO LTDA,ATIVO SERVICOS 24 HORAS,MATRIZ,ATIVA,7319002,5229002;6821801;7020400;7711000;8020001;8219999,SALVADOR,BA,"99800,00",01,PALAVRA_CHAVE_GR
17481725000141,AUTOMOTIVE PROTECAO VEICULAR LTDA,ASSOCIACAO DE PROTECAO VEICULAR,MATRIZ,ATIVA,8020001,7711000,SALVADOR,BA,"100000,00",01,CNAE_CARGA_TRANSPORTE
12983582000152,INVIOLAVEL MANAUS COMERCIO DE EQUIPAMENTOS ELETRONICOS E SERVICOS DE MONITORAMENTO LTDA,INVIOLAVEL,MATRIZ,ATIVA,8020001,3313999;4321500;4742300;4751201;4752100;4754703;4757100;4789007;6209100;6311900;7739099;8220200;8599603;9001906;9511800;9521500,MANAUS,AM,"60000,00",01,PALAVRA_CHAVE_GR
18520617000101,I2 ASSESSORIA E MONITORAMENTO LTDA,I2 ASSESSORIA & MONITORAMENTO,MATRIZ,ATIVA,8020001,4520005;5223100;5229002;8030700,SALVADOR,BA,"10000,00",01,PALAVRA_CHAVE_GR
22427060000128,LEONE C. MASCARENHAS,LOGAR - RASTREAMENTO VEICULAR COM TELEMETRIA,MATRIZ,ATIVA,8020001,1813001;5229002;8020002,FEIRA DE SANTANA,BA,"50000,00",01,PALAVRA_CHAVE_GR
22437622000114,PROTEK COMERCIO E RASTREAMENTO LTDA,GRUPO ADVANCE,MATRIZ,ATIVA,8020001,4120400;4330499;5819100;6201501;6209100;6619302;6821802;7311400;7319002;8011101;8599604;9511800,BRASILIA,DF,"94500,00",01,PALAVRA_CHAVE_GR
23019119000101,WEU TRANSPORTE LTDA,GRUPO WEU SOLUCOES INTEGRADAS,MATRIZ,ATIVA,4923002,4321500;4329199;4618402;4618499;4619200;4929901;4929902;4929904;4930201;5229099;5250804;6822600;7711000;7739099;7912100;7990200;8020001;8020002;8111700;9521500,SALVADOR,BA,"156000,00",01,CNAE_CARGA_TRANSPORTE
23262346000163,LAERCIO CASTRO DE OLIVEIRA,FAST MONITORAMENTO E RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,4530703;4752100;5320202,MANAUS,AM,"30000,00",01,PALAVRA_CHAVE_GR
20498298000119,TRACK LOCK TECNOLOGIA DE RASTREAMENTO LTDA,TRACK LOCK,MATRIZ,ATIVA,8020001,4530703;4530706,BRASILIA,DF,"600000,00",05,PALAVRA_CHAVE_GR
19682987000108,VEGA RASTREAMENTO LTDA,VEGA RASTREAMENTO,MATRIZ,ATIVA,8020001,1830003;4321500;4751201;7739099;8111700;8121400;8129000;8130300;9511800,MANAUS,AM,"1000000,00",03,PALAVRA_CHAVE_GR
08158284000150,ALENCAR VEICULOS TRANSPORTE E CORRETAGEM DE SEGUROS AUTOMOTIVOS LTDA,SANTA FE VEICULOS MULTIMARCAS,MATRIZ,ATIVA,7711000,4211101;4321500;4511102;4520003;4520005;4520007;4530701;4530703;4541203;4541204;4541206;4649401;4649402;4752100;4753900;4757100;4763605;4789005;4923002;4924800;4929901;4930201;4930202;4930204;5021101;5022001;5091201;5229002;6190699;6201501;6202300;6203100;6204000;6311900;6622300;7719501;7719599;7731400;7732201;7739099;8011101;8020001;8020002;8121400;8129000;8211300;9512600,SAO LUIS,MA,"1800000,00",01,CNAE_CARGA_TRANSPORTE
20039660000193,MAX RASTREAMENTO LTDA,,MATRIZ,ATIVA,8020001,4520007;4530703;4530704,JOAO PESSOA,PB,"1500,00",03,PALAVRA_CHAVE_GR
10397058000255,ATUALIZA TRANSPORTES RODOVIARIO DE CARGAS LTDA,,FILIAL,ATIVA,4711302,3811400;4120400;4213800;4313400;4329104;4330402;4330499;4511102;4520005;4530701;4530703;4541204;4541206;4615000;4619200;4623106;4633801;4637102;4637199;4644302;4645101;4645102;4645103;4646001;4663000;4669999;4673700;4674500;4686902;4687701;4722901;4723700;4732600;4741500;4742300;4744001;4744002;4751201;4753900;4757100;4763602;4763603;4771703;4772500;4781400;4782201;4782202;4783101;4783102;4789004;4789005;4789099;4921301;4923002;4930201;4930202;5212500;5223100;5611201;5611205;7112000;7311400;7312200;7711000;7911200;7912100;8020001;8121400;8211300;9319101;9329801,MANAUS,AM,"108000,00",01,CNAE_CARGA_TRANSPORTE
13259217000162,GTSAT NACIONAL RASTREAMENTO E LOCACAO LTDA,GT SAT NACIONAL RASTREAMENTO E LOCACAO,MATRIZ,ATIVA,4520007,4511102;4530703;7711000,SALVADOR,BA,"100000,00",01,PALAVRA_CHAVE_GR
26037007000171,PHOENIX COMERCIO E DISTRIBUIDOR DE EQUIPAMENTOS AUDIO E VIDEO E SEGURANCA PATRIMONIAL E RASTREAMENTO DE VEICULOS LTDA,GR SEGURANCA ELETRONICA,MATRIZ,ATIVA,4753900,4321500;4619200;4649401;4649499;4651602;4652400;4742300;4751201;4754703;4757100;4789099;5611203;5620101;5620104;6209100;8011101;8020001;9512600;9521500,MANAUS,AM,"150000,00",01,PALAVRA_CHAVE_GR
27698427000161,LOKSAT RASTREAMENTO E MONITORAMENTO LTDA,LOKSAT RASTREAMENTO,MATRIZ,ATIVA,8020001,8299799,ARACAJU,SE,"10000,00",01,PALAVRA_CHAVE_GR
26430919000109,D XAVIER DE BRITO SERVICOS LTDA,EBENEZER RASTREAMENTO,MATRIZ,ATIVA,8020001,8020002,FEIRA DE SANTANA,BA,"100000,00",01,PALAVRA_CHAVE_GR
28506243000115,B N PEREIRA DE SOUZA,BUSCAR RASTREAMENTO,MATRIZ,ATIVA,8020001,8230001,NATAL,RN,"20000,00",01,PALAVRA_CHAVE_GR
29693031000157,EXTREMA SEGURANCA E RASTREAMENTO LTDA,,MATRIZ,ATIVA,8020001,3313999;4321500;4322303;4742300;4752100;4753900;4759899;6190699;8020002;8030700;8111700;8599603;9511800,MANAUS,AM,"100000,00",01,PALAVRA_CHAVE_GR
30743919000136,PRIME CAR MONITORAMENTO E INSTALACAO DE RASTREADORES LTDA,F5 RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,4520007,SALVADOR,BA,"5000,00",01,PALAVRA_CHAVE_GR
27072217000163,MASTERS SERVICOS DE MONITORAMENTO LIMPEZA E CONSERVACAO LTDA,MASTERS SERVICOS,MATRIZ,ATIVA,8020001,4752100;7810800;8111700;8121400;9512600,BELEM,PA,"93700,00",01,PALAVRA_CHAVE_GR
31265749000194,FOXBRAVO SERVICOS DE MONITORAMENTO DE SISTEMA ELETRONICO LTDA,FOXBRAVO,MATRIZ,ATIVA,8020001,4321500;7739099,JOAO PESSOA,PB,"200000,00",01,PALAVRA_CHAVE_GR
33851406000137,LG SERVICOS DE RASTREADOR VEICULAR LTDA,PROTECAO VEICULAR PARAIBANA,MATRIZ,ATIVA,4520007,8020001,JOAO PESSOA,PB,"20000,00",01,PALAVRA_CHAVE_GR
34281249000134,VIRGINIO MONITORAMENTOS E SERVICOS LTDA,PROTECTION MONITORAMENTO E SERVICOS,MATRIZ,ATIVA,8020001,8111700;8121400,JOAO PESSOA,PB,"20000,00",01,PALAVRA_CHAVE_GR
34666996000190,BORGESSAT RASTREAMENTO VEICULAR LTDA,,MATRIZ,ATIVA,8020002,7729202;7729299,JOAO PESSOA,PB,"1000,00",01,PALAVRA_CHAVE_GR
35283792000133,GODINHO MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO LTDA,TAG RASTREAMENTO & MONITORAMENTO,MATRIZ,ATIVA,8020001,,BELEM,PA,"10000,00",01,PALAVRA_CHAVE_GR
