cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
11620873000113,VILB SERVICOS LTDA,MULTI RASTREAMENTO E SERVICOS,MATRIZ,ATIVA,4753900,3313901;3314707;3702900;4321500;4322302;4744005;4923001;5229002;7711000;7732201;7733100;7739099;8020001;8020002;8130300;9529105,ALAGOINHAS,BA,"10000,00",01,PALAVRA_CHAVE_GR
24047410000156,LOBO SERVICE DE MONITORAMENTO LTDA,LOBO SERVICE,MATRIZ,ATIVA,8111700,8011101;8020001,SAO PAULO,SP,"3000,00",01,PALAVRA_CHAVE_GR
21534298000190,J BATISTA DE BARROS,SATELITE RASTREAMENTO E SERVICOS,MATRIZ,ATIVA,8020001,4520003;4520007;5229002;7711000;7732201,PANELAS,PE,"30000,00",01,PALAVRA_CHAVE_GR
16870691000114,AGUIA DA NOITE RONDA E MONITORAMENTO LTDA,AGUIA DA NOITE,MATRIZ,ATIVA,8020001,8230001,TERRA BOA,PR,"30000,00",01,PALAVRA_CHAVE_GR
14233711000110,RASTROLOG SERVICOS DE MONITORAMENTO DE VEICULOS LTDA,,MATRIZ,ATIVA,8020001,4520007,ITAJAI,SC,"110000,00",01,PALAVRA_CHAVE_GR
24357599000183,V.F RIBEIRO THEODORO SERVICOS DE MONITORAMENTO,SV SECURITY,MATRIZ,ATIVA,8020001,8121400;8130300;8599604,RIO DE JANEIRO,RJ,"30000,00",01,PALAVRA_CHAVE_GR
24469921000166,C M OLIVEIRA LTDA,OLIVEIRA TRANSPORTES,MATRIZ,ATIVA,4930202,4120400;4530703;4744099;7410202;8020001;8211300;8230001,PORTO VELHO,RO,"20000,00",01,CNAE_CARGA_TRANSPORTE
24475201000103,AL SERVICOS DE MONITORAMENTO LTDA,,MATRIZ,ATIVA,8111700,4759899;8020001;8020002,SAO PAULO,SP,"200000,00",01,PALAVRA_CHAVE_GR
12484802000101,RASTRECEL RASTREAMENTO E MONITORAMENTO LTDA.,RASTRECEL RASTREAMENTO E MONITORAMENTO,MATRIZ,ATIVA,4520007,4530701;4530703;4649402;4757100;8020001,TAQUARA,RS,"200000,00",01,PALAVRA_CHAVE_GR
24586733000118,ROTTA MONITORAMENTO E SERVICOS LTDA,ROTTA MONITORAMENTO,MATRIZ,ATIVA,8020001,8211300,CHA GRANDE,PE,"20000,00",01,PALAVRA_CHAVE_GR
24653589000195,SIMIONI SERVICOS PATRIMONIAS LTDA,SIMIONI SEGURANCA E MONITORAMENTO,MATRIZ,ATIVA,8111700,4120400;4321500;4330404;4752100;4753900;7739099;8011101;8020001;8121400;8130300,CAXIAS DO SUL,RS,"110000,00",01,PALAVRA_CHAVE_GR
24691211000186,GRUPO FELIX MONITORAMENTO E SERVICOS LTDA,GRUPO FELIX,MATRIZ,ATIVA,8020001,4751201;4752100;4753900;4757100;6209100;8011101;8111700;8121400;9511800;9512600,SAO PAULO,SP,"100000,00",03,PALAVRA_CHAVE_GR
24769037000147,ROTAS MONITORAMENTO LTDA,,MATRIZ,ATIVA,4321500,4751201;6209100;8020001,SAO LUIS,MA,"100000,00",01,PALAVRA_CHAVE_GR
24814355000182,BRASLOCAR TRANSPORTES E SERVICOS LTDA,BRASLOCAR TRANSPORTES,MATRIZ,ATIVA,4930202,4923002;4930201;4930204;5211799;5229002;5229099;5250804;5320201;7711000;7732201;7733100;7739099;8020001,COTIA,SP,"96000,00",01,CNAE_CARGA_TRANSPORTE
23369577000502,KUHLMANN MONITORAMENTO AGRICOLA LTDA,KUHLMANN MONITORAMENTO AGRICOLA,FILIAL,ATIVA,7120100,0161099;7020400,LUIS EDUARDO MAGALHAES,BA,"10000000,00",05,PALAVRA_CHAVE_GR
23369577000170,KUHLMANN MONITORAMENTO AGRICOLA LTDA,KUHLMANN MONITORAMENTO AGRICOLA,MATRIZ,ATIVA,7120100,0161099;7020400,BARUERI,SP,"10000000,00",05,PALAVRA_CHAVE_GR
